,Cummulative_Value
2007-12-31,10000.0
2008-01-02,10000.0
2008-01-03,10000.0
2008-01-04,10000.0
2008-01-07,10000.0
2008-01-08,10000.0
2008-01-09,10000.0
2008-01-10,10000.0
2008-01-11,10000.0
2008-01-14,10000.0
2008-01-15,10000.0
2008-01-16,10000.0
2008-01-17,10000.0
2008-01-18,10000.0
2008-01-22,10000.0
2008-01-23,10000.0
2008-01-24,10000.0
2008-01-25,10000.0
2008-01-28,10000.0
2008-01-29,10000.0
2008-01-30,10000.0
2008-01-31,10000.0
2008-02-01,10000.0
2008-02-04,10000.0
2008-02-05,10000.0
2008-02-06,10000.0
2008-02-07,10000.0
2008-02-08,10000.0
2008-02-11,10000.0
2008-02-12,10000.0
2008-02-13,10000.0
2008-02-14,10000.0
2008-02-15,10000.0
2008-02-19,10000.0
2008-02-20,10000.0
2008-02-21,10000.0
2008-02-22,10000.0
2008-02-25,10000.0
2008-02-26,10000.0
2008-02-27,10000.0
2008-02-28,10000.0
2008-02-29,10128.0
2008-03-03,10094.0
2008-03-04,9957.0
2008-03-05,9987.0
2008-03-06,10251.0
2008-03-07,10251.0
2008-03-10,10251.0
2008-03-11,10251.0
2008-03-12,10251.0
2008-03-13,10251.0
2008-03-14,10251.0
2008-03-17,10251.0
2008-03-18,10251.0
2008-03-19,10251.0
2008-03-20,10251.0
2008-03-24,10251.0
2008-03-25,10251.0
2008-03-26,10251.0
2008-03-27,10251.0
2008-03-28,10251.0
2008-03-31,10251.0
2008-04-01,10251.0
2008-04-02,10251.0
2008-04-03,10251.0
2008-04-04,10251.0
2008-04-07,10251.0
2008-04-08,10251.0
2008-04-09,10251.0
2008-04-10,10251.0
2008-04-11,10251.0
2008-04-14,10133.0
2008-04-15,10144.0
2008-04-16,9839.0
2008-04-17,9599.0
2008-04-18,9477.0
2008-04-21,9482.0
2008-04-22,9544.0
2008-04-23,9551.0
2008-04-24,9496.0
2008-04-25,9599.0
2008-04-28,9727.0
2008-04-29,9727.0
2008-04-30,9727.0
2008-05-01,9727.0
2008-05-02,9766.0
2008-05-05,9872.0
2008-05-06,9800.0
2008-05-07,9631.0
2008-05-08,9559.0
2008-05-09,9639.0
2008-05-12,9529.0
2008-05-13,9405.0
2008-05-14,9318.0
2008-05-15,9231.0
2008-05-16,9291.0
2008-05-19,9414.0
2008-05-20,9535.0
2008-05-21,9679.0
2008-05-22,9579.0
2008-05-23,9626.0
2008-05-27,9337.0
2008-05-28,9131.0
2008-05-29,9116.0
2008-05-30,9142.0
2008-06-02,9333.0
2008-06-03,9289.0
2008-06-04,9316.0
2008-06-05,9230.0
2008-06-06,9557.0
2008-06-09,9472.0
2008-06-10,9465.0
2008-06-11,9714.0
2008-06-12,9658.0
2008-06-13,9445.0
2008-06-16,9393.0
2008-06-17,9542.0
2008-06-18,9629.0
2008-06-19,9550.0
2008-06-20,9761.0
2008-06-23,9694.0
2008-06-24,9694.0
2008-06-25,9590.0
2008-06-26,9910.0
2008-06-27,10010.0
2008-06-30,10150.0
2008-07-01,10082.0
2008-07-02,10098.0
2008-07-03,10057.0
2008-07-07,9876.0
2008-07-08,9655.0
2008-07-09,9977.0
2008-07-10,9720.0
2008-07-11,9818.0
2008-07-14,9872.0
2008-07-15,9718.0
2008-07-16,9465.0
2008-07-17,9411.0
2008-07-18,9099.0
2008-07-21,9213.0
2008-07-22,9089.0
2008-07-23,9133.0
2008-07-24,9089.0
2008-07-25,9225.0
2008-07-28,9436.0
2008-07-29,9436.0
2008-07-30,9436.0
2008-07-31,9436.0
2008-08-01,9436.0
2008-08-04,9436.0
2008-08-05,9436.0
2008-08-06,9436.0
2008-08-07,9436.0
2008-08-08,9436.0
2008-08-11,9436.0
2008-08-12,9436.0
2008-08-13,9436.0
2008-08-14,9436.0
2008-08-15,9436.0
2008-08-18,9436.0
2008-08-19,9436.0
2008-08-20,9436.0
2008-08-21,9436.0
2008-08-22,9436.0
2008-08-25,9436.0
2008-08-26,9436.0
2008-08-27,9436.0
2008-08-28,9436.0
2008-08-29,9436.0
2008-09-02,9436.0
2008-09-03,9436.0
2008-09-04,9125.0
2008-09-05,9063.0
2008-09-08,9338.0
2008-09-09,9129.0
2008-09-10,9408.0
2008-09-11,9516.0
2008-09-12,9516.0
2008-09-15,9516.0
2008-09-16,9516.0
2008-09-17,9516.0
2008-09-18,9516.0
2008-09-19,9516.0
2008-09-22,9516.0
2008-09-23,9516.0
2008-09-24,9516.0
2008-09-25,9516.0
2008-09-26,9516.0
2008-09-29,9516.0
2008-09-30,9516.0
2008-10-01,9516.0
2008-10-02,9516.0
2008-10-03,9516.0
2008-10-06,9254.0
2008-10-07,8792.0
2008-10-08,8318.0
2008-10-09,8174.0
2008-10-10,8058.0
2008-10-13,8472.0
2008-10-14,8602.0
2008-10-15,8108.0
2008-10-16,8408.0
2008-10-17,8340.0
2008-10-20,8500.0
2008-10-21,8500.0
2008-10-22,8500.0
2008-10-23,8500.0
2008-10-24,8288.0
2008-10-27,8064.0
2008-10-28,8772.0
2008-10-29,8772.0
2008-10-30,8772.0
2008-10-31,8772.0
2008-11-03,8772.0
2008-11-04,8772.0
2008-11-05,8772.0
2008-11-06,8772.0
2008-11-07,8772.0
2008-11-10,8772.0
2008-11-11,8772.0
2008-11-12,8772.0
2008-11-13,8772.0
2008-11-14,8772.0
2008-11-17,8772.0
2008-11-18,8772.0
2008-11-19,8772.0
2008-11-20,8772.0
2008-11-21,8772.0
2008-11-24,8772.0
2008-11-25,8772.0
2008-11-26,8772.0
2008-11-28,8772.0
2008-12-01,8772.0
2008-12-02,8772.0
2008-12-03,8772.0
2008-12-04,8772.0
2008-12-05,8772.0
2008-12-08,8772.0
2008-12-09,8772.0
2008-12-10,8772.0
2008-12-11,8772.0
2008-12-12,8772.0
2008-12-15,8772.0
2008-12-16,8772.0
2008-12-17,8772.0
2008-12-18,8772.0
2008-12-19,8772.0
2008-12-22,8772.0
2008-12-23,8772.0
2008-12-24,8772.0
2008-12-26,8772.0
2008-12-29,8772.0
2008-12-30,8772.0
2008-12-31,8772.0
2009-01-02,8772.0
2009-01-05,8772.0
2009-01-06,8547.0
2009-01-07,8682.0
2009-01-08,8739.0
2009-01-09,8970.0
2009-01-12,8970.0
2009-01-13,8970.0
2009-01-14,8970.0
2009-01-15,8970.0
2009-01-16,8970.0
2009-01-20,8970.0
2009-01-21,8970.0
2009-01-22,8970.0
2009-01-23,9024.0
2009-01-26,8827.0
2009-01-27,8821.0
2009-01-28,8526.0
2009-01-29,8742.0
2009-01-30,8822.0
2009-02-02,8889.0
2009-02-03,8651.0
2009-02-04,8712.0
2009-02-05,8751.0
2009-02-06,8353.0
2009-02-09,8290.0
2009-02-10,8623.0
2009-02-11,8446.0
2009-02-12,8454.0
2009-02-13,8570.0
2009-02-17,8867.0
2009-02-18,8867.0
2009-02-19,8867.0
2009-02-20,8867.0
2009-02-23,8867.0
2009-02-24,8867.0
2009-02-25,8867.0
2009-02-26,8867.0
2009-02-27,8867.0
2009-03-02,8867.0
2009-03-03,8867.0
2009-03-04,8867.0
2009-03-05,8867.0
2009-03-06,8867.0
2009-03-09,8867.0
2009-03-10,8867.0
2009-03-11,8867.0
2009-03-12,8867.0
2009-03-13,8867.0
2009-03-16,8867.0
2009-03-17,8867.0
2009-03-18,8867.0
2009-03-19,8867.0
2009-03-20,8867.0
2009-03-23,8867.0
2009-03-24,8867.0
2009-03-25,8899.0
2009-03-26,8821.0
2009-03-27,9256.0
2009-03-30,9256.0
2009-03-31,9256.0
2009-04-01,9256.0
2009-04-02,9256.0
2009-04-03,9256.0
2009-04-06,9256.0
2009-04-07,9256.0
2009-04-08,9256.0
2009-04-09,9256.0
2009-04-13,9256.0
2009-04-14,9256.0
2009-04-15,9256.0
2009-04-16,9256.0
2009-04-17,9256.0
2009-04-20,9256.0
2009-04-21,9256.0
2009-04-22,9256.0
2009-04-23,9256.0
2009-04-24,9256.0
2009-04-27,9256.0
2009-04-28,9256.0
2009-04-29,9256.0
2009-04-30,9256.0
2009-05-01,9125.0
2009-05-04,8976.0
2009-05-05,9008.0
2009-05-06,9072.0
2009-05-07,9264.0
2009-05-08,9264.0
2009-05-11,9264.0
2009-05-12,9264.0
2009-05-13,9264.0
2009-05-14,9264.0
2009-05-15,9264.0
2009-05-18,9264.0
2009-05-19,9264.0
2009-05-20,9264.0
2009-05-21,9264.0
2009-05-22,9264.0
2009-05-26,9264.0
2009-05-27,9264.0
2009-05-28,9264.0
2009-05-29,9264.0
2009-06-01,9264.0
2009-06-02,9264.0
2009-06-03,9296.0
2009-06-04,9311.0
2009-06-05,9225.0
2009-06-08,9201.0
2009-06-09,9140.0
2009-06-10,9120.0
2009-06-11,9021.0
2009-06-12,9133.0
2009-06-15,9189.0
2009-06-16,9217.0
2009-06-17,9217.0
2009-06-18,9217.0
2009-06-19,9217.0
2009-06-22,9217.0
2009-06-23,9217.0
2009-06-24,9217.0
2009-06-25,9217.0
2009-06-26,9217.0
2009-06-29,9217.0
2009-06-30,9217.0
2009-07-01,9217.0
2009-07-02,9217.0
2009-07-06,9217.0
2009-07-07,9079.0
2009-07-08,9125.0
2009-07-09,9258.0
2009-07-10,9140.0
2009-07-13,9403.0
2009-07-14,9403.0
2009-07-15,9403.0
2009-07-16,9403.0
2009-07-17,9403.0
2009-07-20,9403.0
2009-07-21,9346.0
2009-07-22,9485.0
2009-07-23,9345.0
2009-07-24,9290.0
2009-07-27,9291.0
2009-07-28,9324.0
2009-07-29,9326.0
2009-07-30,9269.0
2009-07-31,9262.0
2009-08-03,9074.0
2009-08-04,9105.0
2009-08-05,9211.0
2009-08-06,9263.0
2009-08-07,9263.0
2009-08-10,9263.0
2009-08-11,9263.0
2009-08-12,9263.0
2009-08-13,9263.0
2009-08-14,9263.0
2009-08-17,9263.0
2009-08-18,9263.0
2009-08-19,9263.0
2009-08-20,9263.0
2009-08-21,9263.0
2009-08-24,9263.0
2009-08-25,9263.0
2009-08-26,9263.0
2009-08-27,9263.0
2009-08-28,9263.0
2009-08-31,9263.0
2009-09-01,9263.0
2009-09-02,9263.0
2009-09-03,9286.0
2009-09-04,9393.0
2009-09-08,9364.0
2009-09-09,9327.0
2009-09-10,9413.0
2009-09-11,9413.0
2009-09-14,9413.0
2009-09-15,9413.0
2009-09-16,9413.0
2009-09-17,9413.0
2009-09-18,9391.0
2009-09-21,9442.0
2009-09-22,9438.0
2009-09-23,9513.0
2009-09-24,9502.0
2009-09-25,9489.0
2009-09-28,9655.0
2009-09-29,9655.0
2009-09-30,9655.0
2009-10-01,9655.0
2009-10-02,9655.0
2009-10-05,9655.0
2009-10-06,9655.0
2009-10-07,9655.0
2009-10-08,9655.0
2009-10-09,9655.0
2009-10-12,9655.0
2009-10-13,9657.0
2009-10-14,9531.0
2009-10-15,9566.0
2009-10-16,10167.0
2009-10-19,10167.0
2009-10-20,10167.0
2009-10-21,10167.0
2009-10-22,10167.0
2009-10-23,10167.0
2009-10-26,10167.0
2009-10-27,10167.0
2009-10-28,10167.0
2009-10-29,10167.0
2009-10-30,10167.0
2009-11-02,10167.0
2009-11-03,10167.0
2009-11-04,10167.0
2009-11-05,10167.0
2009-11-06,10167.0
2009-11-09,10167.0
2009-11-10,10167.0
2009-11-11,10141.0
2009-11-12,10229.0
2009-11-13,10156.0
2009-11-16,10043.0
2009-11-17,10003.0
2009-11-18,10049.0
2009-11-19,10107.0
2009-11-20,10163.0
2009-11-23,10163.0
2009-11-24,10163.0
2009-11-25,10163.0
2009-11-27,10163.0
2009-11-30,10163.0
2009-12-01,10315.0
2009-12-02,10315.0
2009-12-03,10315.0
2009-12-04,10315.0
2009-12-07,10315.0
2009-12-08,10315.0
2009-12-09,10315.0
2009-12-10,10315.0
2009-12-11,10315.0
2009-12-14,10315.0
2009-12-15,10315.0
2009-12-16,10315.0
2009-12-17,10315.0
2009-12-18,10315.0
2009-12-21,10315.0
2009-12-22,10315.0
2009-12-23,10315.0
2009-12-24,10315.0
2009-12-28,10315.0
2009-12-29,10315.0
2009-12-30,10246.0
2009-12-31,10405.0
